autor,status,cena_wywolawcza,cena_sprzedazy,tytul,rok_powstania,aukcja,wymiar_x,wymiar_y,wielkosc,techniki,material,rok_pow_new
Monika Dałek,zarchiwizowany,1000,1200,MASZ WYOBRŹNIĘ WIĘC JEJ UŻYJ, 2020,2020-10-08,100.0,80.0,8000.0,akryl,płótno,2020
Maria Prokop,dostępny w Galerii,800,0,DO ZIELNIKA, 2020,2020-10-08,20.0,14.0,280.0,"kredka, akwarela",papier,2020
Aleksander Yasin,zarchiwizowany,1000,1200,PERMANENTNOŚĆ MIASTA, 2020,2020-10-08,50.0,70.0,3500.0,akryl,płótno,2020
Magdalena  Szilke ,dostępny w Galerii,1000,0,HATHOR, 2020,2020-10-08,70.0,100.0,7000.0,tusz,akwarela i tempera na papierze akwarelowym,2020
Valeria Paseka,zarchiwizowany,1000,1200,SHALOM!, 2020,2020-10-08,72.5,80.0,5800.0,akryl,płótno,2020
Pervin Ece Yakacik,dostępny w Galerii,1000,0,GNIAZDO, 2020,2020-10-08,81.0,100.0,8100.0,olej,płótno,2020
Piotr Kwaśny,dostępny w Galerii,1000,0,ODLEGŁOŚCI XV, 2019,2020-10-08,50.0,60.0,3000.0,akryl,płótno,2019
Ewa Jaros,dostępny w Galerii,800,0,WHISPERS OF THE DAWN, 2020,2020-10-08,90.0,140.0,12600.0,akryl,płótno,2020
Krzysztof Figielski,dostępny w Galerii,1500,0,SEN WĘDROWCA, 1997,2020-10-08,54.0,71.0,3834.0,"kredka, tusz",papier,1997
Sabina Woźnica,dostępny w Galerii,1500,0,STRUMIEŃ, 2018,2020-10-08,105.0,98.0,10290.0,"olej, technika mieszana",płótno,2018
Dorota Kwiatkowska,dostępny w Galerii,1000,0,IX, 2020,2020-10-08,100.0,70.0,7000.0,akryl,płótno,2020
Rafał Olbiński,dostępny w Galerii,1000,0,KOBIETA I TORREADOR,,2020-10-06,34.8,53.0,1844.3999999999999,inkografia,papier,
Rafał Olbiński,dostępny w Galerii,1000,0,PIERROT Z RÓŻĄ,,2020-10-06,57.8,55.8,3225.24,litografia barwna,papier,
Jerzy Nowosielski,dostępny w Galerii,7900,0,ABSTRAKCJA, 1997,2020-10-06,74.5,52.5,3911.25,serigrafia barwna,karton,1997
Jacek Yerka,zarchiwizowany,10000,15400,DĄB BRACI LIMBOURG, 2020,2020-10-06,47.5,57.5,2731.25,pastel,papier,2020
Rajmund Ziemski,zarchiwizowany,500,1600,PEJZAŻ, 1960,2020-10-06,21.0,22.0,462.0,,technika własna,1960
Jacek Yerka,zarchiwizowany,500,6400,GĄSZCZ KALIGRAFICZNY – G, 2020,2020-10-06,29.4,20.8,611.52,ołówek,karton,2020
Krzysztof Witold Skórczewski,zarchiwizowany,1000,1000,ARKA II, 1984,2020-10-06,24.0,36.2,868.8000000000001,"miedzioryt, mezzotinta",papier,1984
Victor Vasarely,zarchiwizowany,600,700,BEZ TYTUŁU,,2020-10-06,15.5,7.9,122.45,serigrafia,karton,
Jan Tarasin,zarchiwizowany,900,2600,PLAŻA, 1980/1996,2020-10-06,35.3,51.5,1817.9499999999998,serigrafia barwna,papier,1980
Bożena Wahl,zarchiwizowany,500,500,PORTRET PIESKA,,2020-10-06,40.0,30.0,1200.0,pastel,papier,
Leszek Rózga,zarchiwizowany,1000,1000,JESIENNY BUKIET, 1986,2020-10-06,7.8,10.0,78.0,akwaforta barwna,papier,1986
Jacek Sienicki,zarchiwizowany,2300,2400,KWIATY W DONICZCE, LATA 90. XX W.,2020-10-06,42.8,30.3,1296.84,"gwasz, pastel",papier czerpany,90
Stefan Rassalski,zarchiwizowany,700,700,DWIE EPOKI – MAJA, 1964,2020-10-06,50.0,40.0,2000.0,linoryt,papier kremowy,1964
Waldemar Jerzy Marszałek,dostępny w Galerii,2000,0,WRÓŻĄCA Z KART,,2020-10-06,49.5,64.5,3192.75,"tusz pióro, pędzel, akwarela",papier,
Stefan Rassalski,zarchiwizowany,700,1200,DON KICHOT ŻEGNA SIĘ Z DULCYNEĄ, 1965,2020-10-06,50.0,35.7,1785.0000000000002,linoryt,papier,1965
Antoni Anatol Węcławski,dostępny w Galerii,3000,0,WIADUKT NA UL. KAROWEJ W WARSZAWIE, 1935,2020-10-06,45.4,45.9,2083.8599999999997,,fotografia czarno-biała,1935
Antoni Anatol Węcławski,dostępny w Galerii,3000,0,DOROŻKA PRZED KOŚĆ. ŚW. ALEKSANDRA W WARSZAWIE,,2020-10-06,51.5,40.4,2080.6,,fotografia czarno-biała,
Leszek Rózga,dostępny w Galerii,800,0,FRUTTI DI MARE, 1969,2020-10-06,24.8,24.8,615.0400000000001,akwaforta,papier kremowy,1969
Jolanta Johnsson,dostępny w Galerii,700,0,HUMAN 2,,2020-10-06,70.0,50.5,3535.0,folioryt,karton,
Małgorzata Kleyna-Sobczak,dostępny w Galerii,500,0,AKT, 2020,2020-10-06,29.5,19.5,575.25,"tusz, pióro japońskie",papier,2020
Franciszek Starowieyski,zarchiwizowany,1200,1600,KOCHANA MASZ NAJGRUBSZE..., L. 50. XX W.,2020-10-06,35.0,21.2,742.0,tusz pióro,papier srebrny,50
Zofia Kobylińska-Olszewska,dostępny w Galerii,4500,0,MARTWA NATURA Z WINOGRONAMI,,2020-10-06,50.5,60.5,3055.25,olej,płyta pilśniowa,
Bożena Wahl,dostępny w Galerii,500,0,PROFIL PIESKA,,2020-10-06,40.0,30.0,1200.0,pastel,papier,
Zdzisław Lachur,zarchiwizowany,1500,1500,BEZ TYTUŁU,,2020-10-06,42.0,30.5,1281.0,"akwarela, gwasz",papier naklejony na płytę,
Grzegorz W.  Komorowski,zarchiwizowany,500,500,SIEDEM ASTEROIDÓW OD BOGA, 2004,2020-10-06,100.0,70.0,7000.0,ołówek,karton,2004
Jan Lebenstein,zarchiwizowany,800,1200,NIENASYCENIE, 1966,2020-10-06,25.0,33.0,825.0,litografia,papier,1966
Wanda Gołkowska-Chwałczyk,zarchiwizowany,800,1200,Z CYKLU STRACHY POLSKIE, 1991,2020-10-06,39.5,40.0,1580.0,"flamaster, collage",papier,1991
Wanda Gołkowska-Chwałczyk,zarchiwizowany,800,1400,Z CYKLU STRACHY BIESZCZADZKIE, 1981-82,2020-10-06,30.0,40.0,1200.0,"flamaster, collage",papier,1981
Dariusz Kaleta,zarchiwizowany,1000,1100,WEWNĘTRZNY BÓL, 2011,2020-10-06,60.0,59.5,3570.0,olej,płótno,2011
Katarzyna Librowicz,zarchiwizowany,1000,2200,PORTRET DZIEWCZYNY W KAPELUSZU, 1984,2020-10-06,46.0,33.0,1518.0,olej,płyta,1984
Salvador Dali,zarchiwizowany,6000,6000,Z CYKLU BAJKI JAPOŃSKIE, 1974,2020-10-06,48.0,38.5,1848.0,"sucha igła, szablon",papier,1974
Andrzej Domżalski ,zarchiwizowany,400,400,NA SPACERZE, 2020,2020-10-06,100.0,70.0,7000.0,akryl,karton szary,2020
Edward Dwurnik,zarchiwizowany,1800,4600,KATOWICE, 2002,2020-10-06,34.5,44.5,1535.25,litografia barwna,papier,2002
Waldemar Jerzy Marszałek,zarchiwizowany,2500,2500,RYCERZ, 2008,2020-10-06,52.5,45.5,2388.75,olej,płótno,2008
Zdzisław Beksiński,zarchiwizowany,2200,2400,BEZ TYTUŁU, LATA 50. XX W.,2020-10-06,19.0,27.5,522.5,,fotografia czarno-biała,50
Antoni Janusz Wojnarowski,dostępny w Galerii,500,0,JEMIOŁUSZKA 2019,,2020-10-06,24.0,18.0,432.0,olej,płótno,
Salvador Dali,zarchiwizowany,6000,6000,Z CYKLU BAJKI JAPOŃSKIE, 1974,2020-10-06,48.0,38.5,1848.0,"sucha igła, szablon",papier,1974
Otto Axer,dostępny w Galerii,1000,0,CHŁOPIEC Z GITARĄ, 1973,2020-10-06,16.0,20.0,320.0,"tusz pióro, akwarela",papier kremowy,1973
Eugeniusz Ochonko,zarchiwizowany,1500,3000,INSPIRACIÓN DE LA SERIE VIAJES..., 2019,2020-10-06,50.0,40.0,2000.0,"olej, collage",płótno,2019
Miguel Platero,zarchiwizowany,1500,1500,TEL AVIV, 2019,2020-10-06,14.0,20.8,291.2,flamastry barwne,papier,2019
Fryderyk Antoni Hayder,dostępny w Galerii,3600,0,MARTWA NATURA Z OWOCAMI, 1969,2020-10-06,58.5,78.5,4592.25,gwasz,karton,1969
Henryk Stażewski,zarchiwizowany,2500,3600,BEZ TYTUŁU, 1978,2020-10-06,48.0,52.0,2496.0,litografia,papier nakl. na tekturę,1978
Józef Wilkoń,zarchiwizowany,3000,3200,NOSOROŻEC,,2020-10-06,18.7,29.3,547.91,"gwasz, tusz",papier,
Jacek Yerka,zarchiwizowany,500,8900,WAKACYJNE PRZECHWAŁKI, 2020,2020-10-06,29.5,20.8,613.6,"kredki, ołówek",papier,2020
Jan Tarasin,zarchiwizowany,500,1100,BEZ TYTUŁU, 1990,2020-10-06,37.6,27.4,1030.24,serigrafia,papier,1990
Stanisław Szukalski,zarchiwizowany,8000,8000,KOPERNIK, 1935/1973,2020-10-06,44.0,41.2,1812.8000000000002,druk na kremowej tincie,papier,1935
Jan Tarasin,zarchiwizowany,500,600,BEZ TYTUŁU, 1990 (WEDŁUG RYSUNKU Z 1977),2020-10-06,36.0,27.0,972.0,serigrafia,papier,1990
Małgorzata Kleyna-Sobczak,zarchiwizowany,500,500,AKT, 2019,2020-09-02,29.5,19.5,575.25,"tusz, pędzel",papier,2019
Jan Lenica,zarchiwizowany,800,800,PROJEKT PLAKATU DO OPERY „LULU”, 1971,2020-09-02,65.0,48.0,3120.0,serigrafia barwna,papier,1971
Eugeniusz Markowski,zarchiwizowany,1000,1000,WALKA,,2020-09-02,20.1,30.0,603.0,tusze barwne,papier,
Wanda Gołkowska-Chwałczyk,zarchiwizowany,800,800,"Z CYKLU ""STRACHY BIESZCZADZKIE""", 1981-82,2020-09-02,38.7,28.5,1102.95,"rysunek flamastrem, kolaż (ptasie pióra)",karton,1981
Igor Mitoraj,zarchiwizowany,3000,4200,PANCERZ II (CUIRASSE II), 1986,2020-09-02,1.0,1.0,1.0,brąz,kamień,1986
Jerzy Stajuda,zarchiwizowany,800,800,BEZ TYTUŁU, LATA 70,2020-09-02,19.3,16.0,308.8,akwarela,papier,70
Waldemar Jerzy Marszałek,zarchiwizowany,1000,5700,PRZEWOŹNIK, 1996,2020-09-02,39.0,51.0,1989.0,olej,płótno,1996
Jolanta Johnsson,zarchiwizowany,800,800,HUMAN 6,,2020-09-02,69.1,50.5,3489.5499999999997,folioryt,karton,
Igor Mitoraj,zarchiwizowany,2500,2500,TORS,,2020-09-02,64.5,49.5,3192.75,litografia,papier,
Józef Gielniak,zarchiwizowany,800,1100,EKSLIBRIS JERZEGO PANKA, 1964,2020-09-02,6.7,4.5,30.150000000000002,linoryt,bibułka,1964
Jerzy Gnatowski,zarchiwizowany,1000,1100,PEJZAŻ WIOSENNY, 1995,2020-09-02,54.0,65.0,3510.0,olej,płótno,1995
Tadeusz Dominik,zarchiwizowany,500,900,KOMPOZYCJA, 1960,2020-09-02,22.2,22.0,488.4,drzeworyt barwny,papier,1960
Leonor Fini,zarchiwizowany,1000,1500,TANIEC,,2020-09-02,46.0,38.0,1748.0,litografia,papier z suchą pieczęcią,
Jacek Gaj,zarchiwizowany,600,1500,KUSZENIE III, 1976,2020-09-02,19.8,26.0,514.8000000000001,miedzioryt,papier,1976
Jolanta Czacharowska,zarchiwizowany,1900,1900,ONLY YOU MR. BOSCH, 2020,2020-09-02,38.8,28.0,1086.3999999999999,pastel,papier,2020
Salvador Dali,zarchiwizowany,7000,17100,KOŃ KRÓLEWSKI, 1970,2020-09-02,31.5,24.7,778.05,"sucha igła, akwatinta, odciski gwoździ",papier,1970
Salvador Dali,zarchiwizowany,6000,12100,Z CYKLU „BAJKI JAPOŃSKIE”, 1974,2020-09-02,48.0,38.5,1848.0,"sucha igła, szablon",papier,1974
Franciszek Starowieyski,zarchiwizowany,3500,4100,GOŁĄB OK. 1956,,2020-09-02,29.6,37.6,1112.96,"tusz pędzel, gwasz",papier,
Salvador Dali,zarchiwizowany,6000,40100,Z CYKLU „BAJKI JAPOŃSKIE”, 1974,2020-09-02,48.0,38.5,1848.0,"sucha igła, szablon",papier,1974
Zdzisław Otello Horodecki,zarchiwizowany,3000,3000,POWTARZALNY KOŃ ALEATORYSTYCZNY, 2017,2020-09-02,73.0,92.0,6716.0,akryl,płótno,2017
Zdzisław Beksiński,zarchiwizowany,500,2200,BEZ TYTUŁU,,2020-09-02,24.3,32.7,794.6100000000001,grafika komputerowa,papier,
Zdzisław Beksiński,zarchiwizowany,800,1200,BEZ TYTUŁU,,2020-09-02,60.0,80.0,4800.0,grafika komputerowa,papier,
Otto Axer,zarchiwizowany,1000,1000,ŻYDZI, 1973,2020-09-02,23.0,19.0,437.0,"tusz pióro, lawowanie",papier,1973
Fryderyk Antoni Hayder,zarchiwizowany,4500,0,KOT I PTAK, 1967,2020-09-02,48.8,68.5,3342.7999999999997,gwasz,karton,1967
Richard Anuszkiewicz,zarchiwizowany,600,600,BEZ TYTUŁU, 1970,2020-09-02,27.8,42.3,1175.94,litografia,papier,1970
Bogusław Mec,dostępny w Galerii,3500,0,BRAMA, PRZED 1989,2020-09-02,100.0,81.0,8100.0,olej,płótno,1989
Rościsław Brochocki,zarchiwizowany,1500,1500,MORSKIE OKO, 1973,2020-09-02,40.6,44.0,1786.4,olej,płyta pilśniowa,1973
Otto Axer,zarchiwizowany,1000,1000,ORKIESTRA, 1975,2020-09-02,24.0,20.0,480.0,"tusz pióro, pędzel",papier kremowy,1975
Miguel Platero,dostępny w Galerii,2000,0,ŻOLIBORZ, 2019,2020-09-02,23.7,31.0,734.6999999999999,flamastry barwne,papier,2019
Janusz Oskar  Knorowski,zarchiwizowany,3000,0,ZBOŻE, 2001,2020-09-02,50.0,50.0,2500.0,"akryl, olej",płótno,2001
Zdzisław Lachur,dostępny w Galerii,2000,0,RODZINA ŻYDOWSKA,,2020-09-02,77.0,56.0,4312.0,gwasz,karton naklejony na płytę,
Jan Lebenstein,dostępny w Galerii,1500,0,OBELISK, 1985,2020-09-02,49.7,32.0,1590.4,litografia barwna,papier,1985
Waldemar Świerzy,zarchiwizowany,3000,3000,PROJEKT PLAKATU DO SNU NOCY LETNIEJ, 1982,2020-09-02,36.0,25.3,910.8000000000001,"gwasz, szablon",karton,1982
Alfred Lenica,zarchiwizowany,2200,0,BEZ TYTUŁU,,2020-09-02,22.8,27.2,620.16,gwasz,karton,
Krzysztof Witold Skórczewski,dostępny w Galerii,1000,0,KATEDRA, 1993,2020-09-02,31.0,28.5,883.5,miedzioryt,papier,1993
Krystyna Hierowska,dostępny w Galerii,1000,0,MUSEUM OF ANDRZEJ WAJDA, 1994,2020-09-02,19.5,23.0,448.5,"akwaforta, akwatinta, odprysk barwny",papier,1994
Jan Cybis,zarchiwizowany,800,800,PEJZAŻ Z DRZEWAMI,,2020-09-02,17.1,20.5,350.55,ołówek,papier kremowoszary,
Janusz Strzałecki,dostępny w Galerii,1000,0,MARTWA NATURA Z CEBULAMI, 1955,2020-09-02,20.0,29.0,580.0,"ołówek, akwarela",papier,1955
Igor Mitoraj,zarchiwizowany,1000,1300,ARTICULATIONS,,2020-09-02,1.0,1.0,1.0,,brąz,
Edward Dwurnik,zarchiwizowany,2200,0,KOBIETA Z PSAMI, 1990,2020-09-02,57.0,48.7,2775.9,drzeworyt (korekta białym gwaszem),papier kremowy,1990
Bożena Wahl,zarchiwizowany,1200,0,KLAUN,,2020-09-02,56.4,41.4,2334.96,pastel,papier żeberkowy,
Piotr Bogusławski,dostępny w Galerii,1000,0,BEZ TYTUŁU, 1992,2020-09-02,22.5,24.5,551.25,akryl,płótno,1992
Antoni Uniechowski,dostępny w Galerii,1000,0,ELEGANT PRZED LUSTREM,,2020-09-02,29.0,20.0,580.0,tusz pióro,papier,
Victor Vasarely,dostępny w Galerii,4000,0,TSIGA,,2020-09-02,61.6,72.2,4447.52,serigrafia,papier,
Jan Chwałczyk,dostępny w Galerii,800,0,BEZ TYTUŁU,,2020-09-02,42.0,24.3,1020.6,tusz pióro,papier jasnoróżowy,
Monika Stolarska,zarchiwizowany,500,0,DYM III, 2019,2020-09-02,70.0,50.0,3500.0,olej,płótno,2019
Jacek  Baszkowski,dostępny w Galerii,1800,0,KOMPOZYCJA FANTASTYCZNA,,2020-09-02,30.8,37.0,1139.6000000000001,ołówek,karton,
Bożenna Biskupska,dostępny w Galerii,2000,0,WYTYCZANIE OBRAZU, 1997,2020-09-02,51.0,72.0,3672.0,olej,karton kremowy,1997
Jerzy Tyburski,dostępny w Galerii,3500,0,NADZIEJA, 2020,2020-09-02,60.0,70.0,4200.0,olej,płótno,2020
Jacek Barszcz,zarchiwizowany,1500,0,JESIEŃ, 2019,2020-09-02,46.0,61.0,2806.0,olej,płótno,2019
Jan Tarasin,zarchiwizowany,500,1000,KOMPOZYCJA, 1960,2020-09-02,18.5,17.7,327.45,litografia barwna,papier,1960
Jerzy Skarżyński,zarchiwizowany,100,600,SCENA EROTYCZNA,,2020-08-19,27.5,20.7,569.25,ołówek,papier kremowy,
Małgorzata Leszczewska-Włodarska,zarchiwizowany,100,0,ZACZAROWANE MIASTO II, 1992,2020-08-19,17.0,22.0,374.0,akwaforta,papier kremowy,1992
Małgorzata Leszczewska-Włodarska,zarchiwizowany,100,0,CYRK, 1991,2020-08-19,11.7,16.4,191.87999999999997,akwaforta,papier kremowy,1991
Małgorzata Leszczewska-Włodarska,zarchiwizowany,100,0,UNDULA ODWIECZNY IDEAŁ, 1991,2020-08-19,10.0,15.2,152.0,akwaforta,papier kremowy,1991
Jerzy Skarżyński,zarchiwizowany,100,300,AKTOR LUDWIK PAK,,2020-08-19,43.0,27.0,1161.0,"cienkopis, akwarela, collage",papier,
Edyta  Draus ,zarchiwizowany,100,0,PROFESOR NA PLAŻY,,2020-08-19,20.0,15.0,300.0,"ołówek, tusz, collage",papier,
Edyta  Draus ,zarchiwizowany,100,0,WIELKA PRZERÓBKA,,2020-08-19,21.0,29.0,609.0,"ołówek, collage",papier,
Tadeusz Dworzański,zarchiwizowany,100,0,NIZINA, 1956,2020-08-19,21.0,15.5,325.5,drzeworyt,papier,1956
Władysław Skoczylas,zarchiwizowany,100,600,ŚWIĘTY BOŻE (WOJNA), 1916,2020-08-19,31.5,29.5,929.25,drzeworyt,papier,1916
Małgorzata Leszczewska-Włodarska,zarchiwizowany,100,0,XIĘGA BAŁWOCHWALCZA II, 1992,2020-08-19,14.0,23.0,322.0,akwaforta,papier kremowy,1992
Maria Teresa Kuczyńska,zarchiwizowany,100,0,CZAJNIK, 2000,2020-08-19,27.8,20.5,569.9,"flamaster, kredka",papier,2000
Krzysztof Chara,zarchiwizowany,100,0,POSTAĆ,,2020-08-19,39.0,28.6,1115.4,olej,płótno,
Marek Chaczyk,zarchiwizowany,100,0,GŁOWA,,2020-08-19,13.9,12.3,170.97000000000003,pastel,papier kremowy,
Danuta Ciechanowska,zarchiwizowany,500,0,NA WYŻYNACH GŁOSÓW,,2020-08-19,90.0,120.0,10800.0,olej,płótno,
Elżbieta  Bocianowska,zarchiwizowany,100,0,WZLOT,,2020-08-19,10.3,6.3,64.89,akwaforta,papier,
Irena Snarska,zarchiwizowany,100,200,CZARNA MADONNA, 1982,2020-08-19,64.0,49.0,3136.0,"akwaforta, akwatinta",papier,1982
Malarz Nierozpoznany,zarchiwizowany,100,0,TANCERKI,,2020-08-19,54.8,67.8,3715.4399999999996,flamaster,papier,
Lech Zahorski,zarchiwizowany,100,0,BAJECZKI,,2020-08-19,19.5,19.5,380.25,flamastry barwne,papier,
Marek Chaczyk,zarchiwizowany,100,0,LUDZIE, 1984,2020-08-19,15.2,16.3,247.76,długopis,papier kremowy,1984
Leon Dołżycki,zarchiwizowany,100,0,MĘŻCZYZNA W KAPELUSZU,,2020-08-19,33.0,19.6,646.8000000000001,"akwarela, ołówek",papier,
Władysław Paciak,zarchiwizowany,100,200,BEZNADZIEJNOŚĆ, 1972,2020-08-19,38.4,27.5,1056.0,akwarela,papier,1972
Malarz Nierozpoznany,zarchiwizowany,100,200,BEZ TYTUŁU,,2020-08-19,56.0,180.0,10080.0,linoryt,papier,
Józef Mehoffer,zarchiwizowany,100,500,POŻYCZKA ODRODZENIA POLSKI,,2020-08-19,41.7,30.0,1251.0,litografia,papier,
Adam Szulc,zarchiwizowany,500,800,ROZMYŚLANIA 2 -POKÓJ KĄPIELOWY, 1997,2020-08-19,116.5,115.5,13455.75,olej,płótno,1997
Malarz Nierozpoznany,zarchiwizowany,100,0,MUZYCY,,2020-08-19,52.0,41.5,2158.0,flamaster,papier,
Eugeniusz Geppert,zarchiwizowany,100,600,POSTAĆ Z KONIEM,,2020-08-19,17.5,19.4,339.5,ołówek,papier,
Malarz Nierozpoznany,zarchiwizowany,100,200,KOMPOZYCJA, 1981,2020-08-19,92.0,57.6,5299.2,"gwasz, pastel",papier,1981
Malarz Nierozpoznany,zarchiwizowany,100,0,ORKA NA TLE DYMIĄCYCH KOMINÓW,,2020-08-19,21.5,33.5,720.25,tusz pędzel,papier,
Maria Teresa Kuczyńska,zarchiwizowany,100,700,PIES,,2020-08-19,198.0,67.5,13365.0,"gwasz, pastel",papier,
Maria Teresa Kuczyńska,zarchiwizowany,100,400,CASTELLO DI TUSA, SICILY 1994,2020-08-19,74.0,55.7,4121.8,"tusz, pastel",papier,1994
Tomasz Kawiak,zarchiwizowany,100,200,BEZ TYTUŁU, 1980,2020-08-19,24.0,24.0,576.0,kredki,papier,1980
Maria Teresa Kuczyńska,zarchiwizowany,100,700,MOTYW WŁOSKI,,2020-08-19,66.5,96.0,6384.0,"pastel, gwasz, akwarela",papier,
Józef Kulesza,zarchiwizowany,500,800,BEZ TYTUŁU,,2020-08-19,100.5,81.5,8190.75,olej,płótno,
Wacław Obrębowski,zarchiwizowany,100,400,STASZEK DAWSKI, OK. 1937,2020-08-19,24.0,29.9,717.5999999999999,ołówek,papier kremowy,1937
Andrzej Fogtt,zarchiwizowany,100,100,PORTRET PROFESORA, 1999,2020-08-19,14.4,9.6,138.24,długopis,papier,1999
Tomasz Kawiak,zarchiwizowany,100,200,CEGŁY, 1980,2020-08-19,24.6,24.4,600.24,kredka czarna,papier,1980
Andrzej Fogtt,zarchiwizowany,100,100,DLA KRĘGLICKIEJ, 1998,2020-08-19,43.5,43.0,1870.5,druk wypukły suchy,papier,1998
Małgorzata Leszczewska-Włodarska,zarchiwizowany,100,100,OGIERY I EUNUCHY, 1992,2020-08-19,15.7,23.3,365.81,akwaforta,papier kremowy,1992
Henryk  Fajlhauer,zarchiwizowany,100,100,KROKODYLOWY ZAUŁEK II,,2020-08-19,4.0,11.0,44.0,miedzioryt,papier,
Henryk  Fajlhauer,zarchiwizowany,100,100,KROKODYLOWY ZAUŁEK III,,2020-08-19,10.6,7.8,82.67999999999999,miedzioryt,papier,
Maria Okołów-Podhorska ,zarchiwizowany,100,0,LATO 82 - LIST, 1983,2020-08-19,4.2,4.0,16.8,akwaforta,papier,1983
Mariusz Woszczyński ,zarchiwizowany,100,0,ZŁAMANY SPORTOWIEC, 1992,2020-08-19,24.1,32.0,771.2,"flamaster, pastel",papier,1992
Malarz Nierozpoznany,zarchiwizowany,100,0,PARA,,2020-08-19,52.0,41.5,2158.0,flamaster,papier,
Maria Okołów-Podhorska ,zarchiwizowany,100,0,Z CYKLAD I,,2020-08-19,16.7,8.8,146.96,akwatinta,papier,
Krystyna Zawidzka-Kłossowska,zarchiwizowany,100,0,DOMY, 1962,2020-08-19,29.5,42.0,1239.0,linoryt,papier,1962
Eugeniusz Geppert,zarchiwizowany,100,0,SCENA BATALISTYCZNA,,2020-08-19,19.0,27.0,513.0,ołówek,papier,
Mariusz Woszczyński ,zarchiwizowany,100,0,WSPOMNIENIE Z ŁEBY, 1992,2020-08-19,24.0,31.9,765.5999999999999,"flamaster, pastel",papier,1992
Malarz Nierozpoznany,zarchiwizowany,100,0,PORTRET MĘŻCZYZNY W FOTELU,,2020-08-19,22.0,16.5,363.0,ołówek,papier,
Maria Okołów-Podhorska ,zarchiwizowany,100,0,GRECJA - LAWENDA I WYSPY, 1999,2020-08-19,16.8,21.8,366.24,akwaforta,papier,1999
Maria Okołów-Podhorska ,zarchiwizowany,100,0,GRECJA -SANTORINI - LILIE W OIA, 1999,2020-08-19,14.8,25.5,377.40000000000003,akwaforta,papier,1999
André Derain,zarchiwizowany,100,200,AKT LEŻĄCY,,2020-08-19,12.0,17.0,204.0,akwaforta,papier,
Witold Damasiewicz,zarchiwizowany,100,100,ABSTRAKCJA, 1990/94,2020-08-19,20.5,29.0,594.5,"gwasz, flamaster",papier,1990
Tadeusz Dworzański,zarchiwizowany,100,200,LĄDEK ZDRÓJ, 1956,2020-08-19,27.4,29.2,800.0799999999999,drzeworyt,papier,1956
Anna Jelonek-Socha,zarchiwizowany,100,500,NIEBO I ZIEMIA, 1978,2020-08-19,53.7,44.5,2389.65,litografia,papier,1978
Jan Cybis,zarchiwizowany,100,400,WŚRÓD RYBAKÓW NA KAMIENIU, 1971,2020-08-19,13.0,17.7,230.1,ołówek,papier,1971
Stanisław Jakubowski,zarchiwizowany,100,600,PORTRET JANA KOCHANOWSKIEGO, 1930,2020-08-19,28.5,22.5,641.25,akwaforta,papier,1930
Piotr Szurek,zarchiwizowany,100,0,AUTOPORTRET, 1990,2020-08-19,4.6,3.3,15.179999999999998,akwaforta,papier,1990
Elżbieta Szołomiak,zarchiwizowany,500,0,PROMIEŃ SŁOŃCA, 1998,2020-08-19,80.0,100.0,8000.0,olej,płótno,1998
Adam Szulc,zarchiwizowany,500,500,ROZMYŚLANIA 5 - POWRÓT, 1998,2020-08-19,116.0,116.0,13456.0,akryl,płótno,1998
Piotr Szurek,zarchiwizowany,100,0,AUTOPORTRET, 1990,2020-08-19,3.7,3.3,12.209999999999999,akwaforta,papier,1990
Elżbieta Szołomiak,zarchiwizowany,500,0,IMPRESJA Z TAJLANDII,,2020-08-19,81.0,101.0,8181.0,olej,płótno,
Wanda Warska,zarchiwizowany,100,100,TRZY POSTACI, 1991,2020-08-19,4.8,3.4,16.32,"gwasz, tusz",papier,1991
Mieczysław Wątorski,zarchiwizowany,500,600,ZABAWA,,2020-08-19,98.0,122.5,12005.0,olej,płótno,
Karol Wieczorek ,zarchiwizowany,100,200,AKT, 1990,2020-08-19,48.0,68.5,3288.0,"gwasz, collage",papier,1990
Konrad Wieniawa-Narkiewicz,zarchiwizowany,500,500,SZALONA RADOŚĆ W ŁOŻNICY, 1998,2020-08-19,130.0,150.0,19500.0,"akryl, technika mieszana",płótno,1998
Mirosław Biały,zarchiwizowany,500,0,ROWERZYSTKA, 1997,2020-08-19,140.5,90.0,12645.0,olej,płótno,1997
Maria Okołów-Podhorska ,zarchiwizowany,100,0,Z CYKLAD III,,2020-08-19,16.6,8.8,146.08,akwaforta,papier,
Gerine Arutiunian ,zarchiwizowany,100,400,BEZ TYTUŁU,,2020-08-19,39.0,59.0,2301.0,"druk barwny, flamaster, pastel, dłg.",papier,
Wanda Warska,zarchiwizowany,100,100,KOBIETY, 1991,2020-08-19,5.4,3.2,17.28,"gwasz, tusz",papier,1991
Jacek Yerka,zarchiwizowany,1500,1700,ŁAMACZ CZASU, 2001,2020-08-04,56.4,62.0,3496.7999999999997,giclée,papier,2001
Jacek Yerka,zarchiwizowany,2000,0,PEŁNA MISKA,,2020-08-04,45.0,49.5,2227.5,giclée,papier,
Jacek Yerka,zarchiwizowany,1500,1700,BEZLUDNA WYSPA, 1999,2020-08-04,70.0,62.2,4354.0,giclée,papier,1999
Jacek Yerka,dostępny w Galerii,1500,0,DRUGI DZIEŃ STWORZENIA, 1994,2020-08-04,53.9,62.0,3341.7999999999997,giclée,papier,1994
